treatment;ID;morphospecies;sindrome;ID_SEED;month;abundance;forest_fragment;seed_diameter;seed_length;;;;;;;;;;;;;;;
live_tree 06;248;morfo 36;zoochooric;62;março;1;1;2.486;5.815;;;;;;;;;;;;;;;
live_tree 06;249;bowdichia (Fabaceae) - Morfo 65;anemochorous;102;maio;1;1;7.93;15.54;;;;;;;;;;;;;;;
live_tree 06;250;morfo 5;zoochooric;95;maio;1;1;5.934;7.99;;;;;;;;;;;;;;;
live_tree 06;251;Poaceae;anemochorous;14;outubro;1;1;2.15;3.449;;;;;;;;;;;;;;;
live_tree 07;252;Pera glabrata;zoochooric;8;novembro;9;1;4.299;6.082;;;;;;;;;;;;;;;
live_tree 07;253;Cecropia sp;zoochooric;11;novembro;88;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 07;254;Cecropia sp;zoochooric;11;dezembro;29;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 07;255;Cecropia sp;zoochooric;11;janeiro;102;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 07;256;Cecropia sp;zoochooric;11;fevereiro;54;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 07;257;Cecropia sp;zoochooric;11;abril;2;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 07;258;Cecropia sp;zoochooric;11;maio;2;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 07;259;Psidium sp.;zoochooric;18;dezembro;1;1;5.641;6.296;;;;;;;;;;;;;;;
live_tree 07;260;Psidium sp.;zoochooric;18;janeiro;5;1;5.641;6.296;;;;;;;;;;;;;;;
live_tree 07;261;Psidium sp.;zoochooric;18;julho;12;1;5.641;6.296;;;;;;;;;;;;;;;
live_tree 07;262;Poaceae;anemochorous;14;dezembro;1;1;2.15;3.449;;;;;;;;;;;;;;;
live_tree 07;263;asteraceae;anemochorous;5;janeiro;3;1;1.01;4.348;;;;;;;;;;;;;;;
live_tree 07;264;asteraceae;anemochorous;5;abril;1;1;1.01;4.348;;;;;;;;;;;;;;;
live_tree 07;265;morfo 44;anemochorous;72;fevereiro;1;1;3.548333333;3.553333333;;;;;;;;;;;;;;;
live_tree 07;266;morfo 44;anemochorous;72;março;2;1;3.548333333;3.553333333;;;;;;;;;;;;;;;
live_tree 07;267;Xylopia sp. morfo 40;zoochooric;66;fevereiro;1;1;5.60875;7.915;;;;;;;;;;;;;;;
live_tree 07;268;morfo 8;anemochorous;25;março;6;1;2.407;3.809;;;;;;;;;;;;;;;
live_tree 07;269;morfo 58;anemochorous;90;março;2;1;6.914;9.045;;;;;;;;;;;;;;;
live_tree 07;270;Psychotria carlhagenensis;zoochooric;73;abril;1;1;3.401111111;4.758888889;;;;;;;;;;;;;;;
live_tree 07;271;morfo 55;zoochooric;87;abril;2;1;2.071;2.349;;;;;;;;;;;;;;;
live_tree 07;272;morfo 55;zoochooric;87;junho;1;1;2.071;2.349;;;;;;;;;;;;;;;
live_tree 07;273;Brysonimia;zoochooric;86;abril;1;1;5.597;4.799;;;;;;;;;;;;;;;
live_tree 07;274;morfo 48;zoochooric;77;maio;1;1;2.489;3.754;;;;;;;;;;;;;;;
live_tree 07;275;Schinus terebinthifoliu Morfo 42;zoochooric;49;junho;8;1;3.696;3.161;;;;;;;;;;;;;;;
live_tree 07;276;morfo 5;zoochooric;95;julho;1;1;5.934;7.99;;;;;;;;;;;;;;;
live_tree 07;277;morfo 5;zoochooric;22;agosto;2;1;5.934;7.99;;;;;;;;;;;;;;;
live_tree 07;278;asteraceae;anemochorous;5;agosto;1;1;1.01;4.348;;;;;;;;;;;;;;;
live_tree 07;279;morfo 8;anemochorous;25;setembro;3;1;2.407;3.809;;;;;;;;;;;;;;;
live_tree 07;280;Xylopia sp. morfo 40;zoochooric;66;setembro;1;1;5.60875;7.915;;;;;;;;;;;;;;;
live_tree 07;281;Lantana camara (morfo 13);zoochooric;16;setembro;2;1;2.752;3.936;;;;;;;;;;;;;;;
live_tree 07;282;Poaceae;anemochorous;14;setembro;1;1;2.15;3.449;;;;;;;;;;;;;;;
live_tree 07;283;morfo 58;anemochorous;90;setembro;2;1;6.914;9.045;;;;;;;;;;;;;;;
live_tree 07;284;morfo 8;anemochorous;25;outubro;3;1;2.407;3.809;;;;;;;;;;;;;;;
live_tree 07;285;Poaceae;anemochorous;14;outubro;1;1;2.15;3.449;;;;;;;;;;;;;;;
live_tree 07;286;Cecropia sp;zoochooric;11;outubro;1;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 07;287;morfo 58;anemochorous;90;outubro;14;1;6.914;9.045;;;;;;;;;;;;;;;
live_tree 08;288;asteraceae;anemochorous;5;dezembro;2;1;1.01;4.348;;;;;;;;;;;;;;;
live_tree 08;289;Pera glabrata;zoochooric;8;dezembro;3;1;4.299;6.082;;;;;;;;;;;;;;;
live_tree 08;290;Euphorbiaceae 2;autochorous;58;janeiro;1;1;6.883333333;7.656666667;;;;;;;;;;;;;;;
live_tree 08;291;Cecropia sp;zoochooric;11;janeiro;8;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 08;292;Cecropia sp;zoochooric;11;março;1;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 08;293;Cecropia sp;zoochooric;11;maio;1;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 08;294;morfo 4;anemochorous;20;abril;1;1;4.625;7.3;;;;;;;;;;;;;;;
live_tree 08;295;morfo 48;zoochooric;77;maio;1;1;2.489;3.754;;;;;;;;;;;;;;;
live_tree 08;296;morfo 34;zoochooric;60;junho;1;1;2.7125;2.695;;;;;;;;;;;;;;;
live_tree 09;297;Psidium sp.;zoochooric;18;novembro;34;1;5.641;6.296;;;;;;;;;;;;;;;
live_tree 09;298;Pera glabrata;zoochooric;8;novembro;1;1;4.299;6.082;;;;;;;;;;;;;;;
live_tree 09;299;Cecropia sp;zoochooric;11;novembro;37;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 09;300;Cecropia sp;zoochooric;11;janeiro;1305;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 09;301;Cecropia sp;zoochooric;11;março;3;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 09;302;Cecropia sp;zoochooric;11;abril;14;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 09;303;asteraceae;anemochorous;5;novembro;1;1;1.01;4.348;;;;;;;;;;;;;;;
live_tree 09;304;asteraceae;anemochorous;5;janeiro;3;1;1.01;4.348;;;;;;;;;;;;;;;
live_tree 09;305;asteraceae;anemochorous;5;junho;1;1;1.01;4.348;;;;;;;;;;;;;;;
live_tree 09;306;morfo 23;zoochooric;47;janeiro;6;1;5.502857143;8.535714286;;;;;;;;;;;;;;;
live_tree 09;307;morfo 21;zoochooric;44;janeiro;1;1;4.54;3.66;;;;;;;;;;;;;;;
live_tree 09;308;morfo 24;autochorous;48;janeiro;1;1;4.786818182;5.332181818;;;;;;;;;;;;;;;
live_tree 09;309;morfo 24;autochorous;48;março;1;1;4.786818182;5.332181818;;;;;;;;;;;;;;;
live_tree 09;310;morfo 33;zoochooric;59;janeiro;6;1;1.884;1.989;;;;;;;;;;;;;;;
live_tree 09;311;morfo 34;zoochooric;60;janeiro;1;1;2.7125;2.695;;;;;;;;;;;;;;;
live_tree 09;312;morfo 35;zoochooric;61;janeiro;2;1;2.8125;6.4675;;;;;;;;;;;;;;;
live_tree 09;313;morfo 36;zoochooric;62;janeiro;1;1;2.486;5.815;;;;;;;;;;;;;;;
live_tree 09;314;morfo 36;zoochooric;62;março;23;1;2.486;5.815;;;;;;;;;;;;;;;
live_tree 09;315;morfo 36;zoochooric;62;abril;25;1;2.486;5.815;;;;;;;;;;;;;;;
live_tree 09;316;morfo 66;anemochorous;105;maio;1;1;12.485;19.505;;;;;;;;;;;;;;;
live_tree 09;317;morfo 8;anemochorous;25;maio;10;1;2.407;3.809;;;;;;;;;;;;;;;
live_tree 09;318;Schinus terebinthifoliu Morfo 42;zoochooric;49;junho;2;1;3.696;3.161;;;;;;;;;;;;;;;
live_tree 09;319;Schinus terebinthifoliu Morfo 42;zoochooric;49;julho;2;1;3.696;3.161;;;;;;;;;;;;;;;
live_tree 09;320;asteraceae;anemochorous;5;julho;1;1;1.01;4.348;;;;;;;;;;;;;;;
live_tree 09;321;morfo 55;zoochooric;87;julho;1;1;2.071;2.349;;;;;;;;;;;;;;;
live_tree 09;322;morfo 48;zoochooric;77;julho;1;1;2.489;3.754;;;;;;;;;;;;;;;
live_tree 09;323;Poaceae;anemochorous;14;setembro;2;1;2.15;3.449;;;;;;;;;;;;;;;
live_tree 09;324;morfo 48;zoochooric;77;setembro;1;1;2.489;3.754;;;;;;;;;;;;;;;
live_tree 09;325;Poaceae;anemochorous;14;outubro;3;1;2.15;3.449;;;;;;;;;;;;;;;
live_tree 09;326;Cecropia sp;zoochooric;11;outubro;14;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 10;327;Pera glabrata;zoochooric;8;novembro;6;1;4.299;6.082;;;;;;;;;;;;;;;
live_tree 10;328;asteraceae;anemochorous;5;novembro;1;1;1.01;4.348;;;;;;;;;;;;;;;
live_tree 10;329;morfo 78;zoochooric;78;março;1;1;3.415;4.778333333;;;;;;;;;;;;;;;
live_tree 10;330;asteraceae;anemochorous;5;abril;1;1;1.01;4.348;;;;;;;;;;;;;;;
live_tree 10;331;Cecropia sp;zoochooric;11;abril;7;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 10;332;Cecropia sp;zoochooric;11;maio;3;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 10;333;morfo 4;anemochorous;20;maio;1;1;4.625;7.3;;;;;;;;;;;;;;;
live_tree 10;334;Brysonimia;zoochooric;86;maio;1;1;5.597;4.799;;;;;;;;;;;;;;;
live_tree 10;335;morfo 82;zoochooric;123;outubro;1;1;11.35;23.08;;;;;;;;;;;;;;;
live_tree 11;336;Cecropia sp;zoochooric;11;novembro;166;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 11;337;Cecropia sp;zoochooric;11;dezembro;417;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 11;338;Cecropia sp;zoochooric;11;janeiro;447;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 11;339;Cecropia sp;zoochooric;11;fevereiro;4;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 11;340;Cecropia sp;zoochooric;11;março;7;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 11;341;Cecropia sp;zoochooric;11;abril;16;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 11;342;asteraceae;anemochorous;5;abril;2;2;1.01;4.348;;;;;;;;;;;;;;;
live_tree 11;343;Lantana camara (morfo 13);zoochooric;32;novembro;1;2;2.752;3.936;;;;;;;;;;;;;;;
live_tree 11;344;Pera glabrata;zoochooric;11;novembro;6;2;4.299;6.082;;;;;;;;;;;;;;;
live_tree 11;345;morfo 48;zoochooric;77;março;1;2;2.489;3.754;;;;;;;;;;;;;;;
live_tree 11;346;Tabebuia insignis (bignoniaceae;anemochorous;101;abril;8;2;10.43125;17.16444444;;;;;;;;;;;;;;;
live_tree 11;347;morfo 55;zoochooric;87;abril;2;2;2.071;2.349;;;;;;;;;;;;;;;
live_tree 11;348;morfo 55;zoochooric;87;maio;4;2;2.071;2.349;;;;;;;;;;;;;;;
live_tree 11;349;morfo 55;zoochooric;87;junho;54;2;2.071;2.349;;;;;;;;;;;;;;;
live_tree 11;350;morfo 55;zoochooric;87;julho;1;2;2.071;2.349;;;;;;;;;;;;;;;
live_tree 11;351;Schinus terebinthifoliu Morfo 42;zoochooric;49;junho;19;2;3.696;3.161;;;;;;;;;;;;;;;
live_tree 11;352;Schinus terebinthifoliu Morfo 42;zoochooric;49;julho;2;2;3.696;3.161;;;;;;;;;;;;;;;
live_tree 11;353;Pseudobombax (bombaceae);autochorous;118;agosto;1;2;3.38;3.95;;;;;;;;;;;;;;;
live_tree 11;354;morfo 5;zoochooric;22;agosto;1;2;5.934;7.99;;;;;;;;;;;;;;;
live_tree 11;355;Poaceae;anemochorous;14;setembro;1;2;2.15;3.449;;;;;;;;;;;;;;;
live_tree 11;356;morfo 55;zoochooric;87;setembro;1;2;2.071;2.349;;;;;;;;;;;;;;;
live_tree 11;357;asteraceae;anemochorous;5;outubro;2;2;1.01;4.348;;;;;;;;;;;;;;;
live_tree 11;358;Poaceae;anemochorous;14;outubro;1;2;2.15;3.449;;;;;;;;;;;;;;;
live_tree 12;359;morfo 11;zoochooric;29;novembro;1;2;8.15;7.8;;;;;;;;;;;;;;;
live_tree 12;360;Cecropia sp;zoochooric;11;novembro;53;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 12;361;Cecropia sp;zoochooric;11;janeiro;127;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 12;362;Cecropia sp;zoochooric;11;fevereiro;1;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 12;363;Cecropia sp;zoochooric;11;março;7;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 12;364;Cecropia sp;zoochooric;11;dezembro;200;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 12;365;Pera glabrata;zoochooric;8;novembro;1;2;4.299;6.082;;;;;;;;;;;;;;;
live_tree 12;366;Pera glabrata;zoochooric;8;junho;1;2;4.299;6.082;;;;;;;;;;;;;;;
live_tree 12;367;Annona (Guatteria);zoochooric;36;dezembro;1;2;4.592;8.48;;;;;;;;;;;;;;;
live_tree 12;368;morfo 31;zoochooric;57;janeiro;2;2;1.296;3.948;;;;;;;;;;;;;;;
live_tree 12;369;morfo 8;anemochorous;25;fevereiro;3;2;2.407;3.809;;;;;;;;;;;;;;;
live_tree 12;370;Lantana camara (morfo 13);zoochooric;16;fevereiro;1;2;2.752;3.936;;;;;;;;;;;;;;;
live_tree 12;371;Lantana camara (morfo 13);zoochooric;16;março;3;2;2.752;3.936;;;;;;;;;;;;;;;
live_tree 12;372;Lantana camara (morfo 13);zoochooric;16;abril;2;2;2.752;3.936;;;;;;;;;;;;;;;
live_tree 12;373;Lantana camara (morfo 13);zoochooric;16;junho;6;2;2.752;3.936;;;;;;;;;;;;;;;
live_tree 12;374;morfo 24;autochorous;48;março;1;2;4.786818182;5.332181818;;;;;;;;;;;;;;;
live_tree 12;375;morfo 55;zoochooric;87;março;1;2;2.071;2.349;;;;;;;;;;;;;;;
live_tree 12;376;morfo 55;zoochooric;87;abril;41;2;2.071;2.349;;;;;;;;;;;;;;;
live_tree 12;377;morfo 55;zoochooric;87;maio;96;2;2.071;2.349;;;;;;;;;;;;;;;
live_tree 12;378;morfo 55;zoochooric;87;junho;56;2;2.071;2.349;;;;;;;;;;;;;;;
live_tree 12;379;asteraceae;anemochorous;5;março;2;2;1.01;4.348;;;;;;;;;;;;;;;
live_tree 12;380;Tapira (Annacardiaceae);zoochooric;104;abril;1;2;6.38;8.25;;;;;;;;;;;;;;;
live_tree 12;381;Schinus terebinthifoliu Morfo 42;zoochooric;49;maio;2;2;3.696;3.161;;;;;;;;;;;;;;;
live_tree 12;382;Schinus terebinthifoliu Morfo 42;zoochooric;49;junho;13;2;3.696;3.161;;;;;;;;;;;;;;;
live_tree 12;383;morfo 36;zoochooric;62;julho;7;2;2.486;5.815;;;;;;;;;;;;;;;
live_tree 12;384;Lantana camara (morfo 13);zoochooric;16;julho;3;2;2.752;3.936;;;;;;;;;;;;;;;
live_tree 12;385;morfo 55;zoochooric;87;julho;3;2;2.071;2.349;;;;;;;;;;;;;;;
live_tree 12;386;Lantana camara (morfo 13);zoochooric;16;agosto;42;2;2.752;3.936;;;;;;;;;;;;;;;
live_tree 12;387;asteraceae;anemochorous;5;agosto;2;2;1.01;4.348;;;;;;;;;;;;;;;
live_tree 12;388;morfo 55;zoochooric;87;outubro;1;2;2.071;2.349;;;;;;;;;;;;;;;
live_tree 12;389;Poaceae;anemochorous;14;outubro;1;2;2.15;3.449;;;;;;;;;;;;;;;
live_tree 12;390;morfo 26;anemochorous;50;outubro;1;2;7.912;21.8;;;;;;;;;;;;;;;
live_tree 13;391;Poaceae;anemochorous;14;novembro;6;2;2.15;3.449;;;;;;;;;;;;;;;
live_tree 13;392;Lantana camara (morfo 13);zoochooric;32;novembro;1;2;2.752;3.936;;;;;;;;;;;;;;;
live_tree 13;393;Lantana camara (morfo 13);zoochooric;32;dezembro;2;2;2.752;3.936;;;;;;;;;;;;;;;
live_tree 13;394;Lantana camara (morfo 13);zoochooric;32;janeiro;1;2;2.752;3.936;;;;;;;;;;;;;;;
live_tree 13;395;Lantana camara (morfo 13);zoochooric;32;fevereiro;3;2;2.752;3.936;;;;;;;;;;;;;;;
live_tree 13;396;Lantana camara (morfo 13);zoochooric;32;março;13;2;2.752;3.936;;;;;;;;;;;;;;;
live_tree 13;397;asteraceae;anemochorous;5;novembro;3;2;1.01;4.348;;;;;;;;;;;;;;;
live_tree 13;398;asteraceae;anemochorous;5;dezembro;16;2;1.01;4.348;;;;;;;;;;;;;;;
live_tree 13;399;Cecropia sp;zoochooric;11;dezembro;35;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 13;400;Cecropia sp;zoochooric;11;janeiro;22;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 13;401;morfo 21;zoochooric;44;janeiro;1;2;4.54;3.66;;;;;;;;;;;;;;;
live_tree 13;402;morfo 24;autochorous;48;janeiro;2;2;4.786818182;5.332181818;;;;;;;;;;;;;;;
live_tree 13;403;morfo 31;zoochooric;57;janeiro;1;2;1.296;3.948;;;;;;;;;;;;;;;
live_tree 13;404;Araliaceae (Schefflera);zoochooric;35;fevereiro;1;2;3.458;4.769;;;;;;;;;;;;;;;
live_tree 13;405;morfo 8;anemochorous;25;março;1;2;2.407;3.809;;;;;;;;;;;;;;;
live_tree 13;406;morfo 8;anemochorous;25;maio;1;2;2.407;3.809;;;;;;;;;;;;;;;
live_tree 13;407;morfo 55;zoochooric;87;abril;14;2;2.071;2.349;;;;;;;;;;;;;;;
live_tree 13;408;morfo 55;zoochooric;87;maio;38;2;2.071;2.349;;;;;;;;;;;;;;;
live_tree 13;409;morfo 55;zoochooric;87;junho;53;2;2.071;2.349;;;;;;;;;;;;;;;
live_tree 13;410;Pera glabrata;zoochooric;8;maio;1;2;4.299;6.082;;;;;;;;;;;;;;;
live_tree 13;411;Brysonimia;zoochooric;86;maio;1;2;5.597;4.799;;;;;;;;;;;;;;;
live_tree 13;412;morfo 69;zoochooric;108;maio;1;2;4.71;9.08;;;;;;;;;;;;;;;
live_tree 13;413;morfo 70;zoochooric;109;junho;1;2;2.81;3.56;;;;;;;;;;;;;;;
live_tree 13;414;Schinus terebinthifoliu Morfo 42;zoochooric;49;junho;5;2;3.696;3.161;;;;;;;;;;;;;;;
live_tree 13;415;morfo 55;zoochooric;87;julho;8;2;2.071;2.349;;;;;;;;;;;;;;;
live_tree 13;416;Poaceae;anemochorous;14;agosto;38;2;2.15;3.449;;;;;;;;;;;;;;;
live_tree 13;417;morfo 55;zoochooric;87;agosto;20;2;2.071;2.349;;;;;;;;;;;;;;;
live_tree 13;418;Lantana camara (morfo 13);zoochooric;32;agosto;2;2;2.752;3.936;;;;;;;;;;;;;;;
live_tree 13;419;asteraceae;anemochorous;5;agosto;1;2;1.01;4.348;;;;;;;;;;;;;;;
live_tree 13;420;Poaceae;anemochorous;14;setembro;29;2;2.15;3.449;;;;;;;;;;;;;;;
live_tree 13;421;morfo 55;zoochooric;87;setembro;4;2;2.071;2.349;;;;;;;;;;;;;;;
live_tree 13;422;morfo 55;zoochooric;87;outubro;6;2;2.071;2.349;;;;;;;;;;;;;;;
live_tree 13;423;Lantana camara (morfo 13);zoochooric;87;outubro;2;2;2.752;3.936;;;;;;;;;;;;;;;
live_tree 13;424;asteraceae;anemochorous;5;outubro;1;2;1.01;4.348;;;;;;;;;;;;;;;
live_tree 13;425;Poaceae;anemochorous;14;outubro;17;2;2.15;3.449;;;;;;;;;;;;;;;
live_tree 14;426;morfo 73;autochorous;113;novembro;1;2;4.046666667;4.593333333;;;;;;;;;;;;;;;
live_tree 14;427;Cecropia sp;zoochooric;11;novembro;86;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 14;428;Cecropia sp;zoochooric;11;dezembro;186;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 14;429;Cecropia sp;zoochooric;11;janeiro;124;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 14;430;Cecropia sp;zoochooric;11;fevereiro;4;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 14;431;Cecropia sp;zoochooric;11;março;7;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 14;432;asteraceae;anemochorous;5;dezembro;2;2;1.01;4.348;;;;;;;;;;;;;;;
live_tree 14;433;asteraceae;anemochorous;5;janeiro;4;2;1.01;4.348;;;;;;;;;;;;;;;
live_tree 14;434;asteraceae;anemochorous;5;fevereiro;1;2;1.01;4.348;;;;;;;;;;;;;;;
live_tree 14;435;Poaceae;anemochorous;14;dezembro;1;2;2.15;3.449;;;;;;;;;;;;;;;
live_tree 14;436;Schinus terebinthifoliu Morfo 42;zoochooric;49;maio;1;2;3.696;3.161;;;;;;;;;;;;;;;
live_tree 14;437;morfo 55;zoochooric;87;maio;7;2;2.071;2.349;;;;;;;;;;;;;;;
live_tree 14;438;morfo 55;zoochooric;87;junho;1;2;2.071;2.349;;;;;;;;;;;;;;;
live_tree 14;439;asteraceae;anemochorous;5;julho;1;2;1.01;4.348;;;;;;;;;;;;;;;
live_tree 14;440;Poaceae;anemochorous;14;setembro;1;2;2.15;3.449;;;;;;;;;;;;;;;
live_tree 14;441;Poaceae;anemochorous;14;outubro;1;2;2.15;3.449;;;;;;;;;;;;;;;
live_tree 14;442;morfo 48;zoochooric;77;outubro;1;2;2.489;3.754;;;;;;;;;;;;;;;
live_tree 15;443;asteraceae;anemochorous;5;novembro;15;2;1.01;4.348;;;;;;;;;;;;;;;
live_tree 15;444;asteraceae;anemochorous;5;janeiro;1;2;1.01;4.348;;;;;;;;;;;;;;;
live_tree 15;445;Pera glabrata;zoochooric;8;novembro;4;2;4.299;6.082;;;;;;;;;;;;;;;
live_tree 15;446;Poaceae;anemochorous;14;novembro;6;2;2.15;3.449;;;;;;;;;;;;;;;
live_tree 15;447;Lantana camara (morfo 13);zoochooric;16;novembro;2;2;2.752;3.936;;;;;;;;;;;;;;;
live_tree 15;448;Lantana camara (morfo 13);zoochooric;16;fevereiro;5;2;2.752;3.936;;;;;;;;;;;;;;;
live_tree 15;449;Lantana camara (morfo 13);zoochooric;16;junho;1;2;2.752;3.936;;;;;;;;;;;;;;;
live_tree 15;450;Cecropia sp;zoochooric;11;novembro;42;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 15;451;Cecropia sp;zoochooric;11;dezembro;50;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 15;452;Cecropia sp;zoochooric;11;janeiro;106;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 15;453;Cecropia sp;zoochooric;11;fevereiro;43;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 15;454;Araliaceae (Schefflera);zoochooric;35;janeiro;2;2;3.458;4.769;;;;;;;;;;;;;;;
live_tree 15;455;Araliaceae (Schefflera);zoochooric;35;fevereiro;1;2;3.458;4.769;;;;;;;;;;;;;;;
live_tree 15;456;Cecropia sp;zoochooric;11;março;1;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 15;457;morfo 8;anemochorous;25;março;15;2;2.407;3.809;;;;;;;;;;;;;;;
live_tree 15;458;morfo 8;anemochorous;25;abril;11;2;2.407;3.809;;;;;;;;;;;;;;;
live_tree 15;459;morfo 43 (Ephorbiaceae??);autochorous;70;março;1;2;2.745;4.69;;;;;;;;;;;;;;;
live_tree 15;460;apocynaceae;anemochorous;21;abril;2;2;1.66;11.21;;;;;;;;;;;;;;;
live_tree 15;461;Schinus terebinthifoliu Morfo 42;zoochooric;49;junho;29;2;3.696;3.161;;;;;;;;;;;;;;;
live_tree 15;462;morfo 55;zoochooric;87;junho;5;2;2.071;2.349;;;;;;;;;;;;;;;
live_tree 15;463;morfo 70;zoochooric;109;junho;1;2;2.81;3.56;;;;;;;;;;;;;;;
live_tree 15;464;Pera glabrata;zoochooric;8;agosto;2;2;4.299;6.082;;;;;;;;;;;;;;;
live_tree 15;465;Poaceae;anemochorous;14;agosto;3;2;2.15;3.449;;;;;;;;;;;;;;;
live_tree 15;466;Cecropia sp;zoochooric;11;setembro;3;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 15;467;Lantana camara (morfo 13);zoochooric;16;setembro;11;2;2.752;3.936;;;;;;;;;;;;;;;
live_tree 15;468;morfo 55;zoochooric;87;setembro;7;2;2.071;2.349;;;;;;;;;;;;;;;
live_tree 15;469;Poaceae;anemochorous;14;setembro;17;2;2.15;3.449;;;;;;;;;;;;;;;
live_tree 15;470;Poaceae;anemochorous;14;outubro;4;2;2.15;3.449;;;;;;;;;;;;;;;
live_tree 15;471;Cecropia sp;zoochooric;11;outubro;46;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 15;472;Lantana camara (morfo 13);zoochooric;16;outubro;2;2;2.752;3.936;;;;;;;;;;;;;;;
live_tree 16;473;Cecropia sp;zoochooric;11;novembro;826;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 16;474;Cecropia sp;zoochooric;11;dezembro;391;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 16;475;Cecropia sp;zoochooric;11;janeiro;98;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 16;476;Cecropia sp;zoochooric;11;fevereiro;25;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 16;477;Cecropia sp;zoochooric;11;março;12;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 16;478;Cecropia sp;zoochooric;11;abril;3;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 16;479;Poaceae;anemochorous;14;novembro;1;2;2.15;3.449;;;;;;;;;;;;;;;
live_tree 16;480;asteraceae;anemochorous;5;dezembro;1;2;1.01;4.348;;;;;;;;;;;;;;;
live_tree 16;481;asteraceae;anemochorous;5;abril;3;2;1.01;4.348;;;;;;;;;;;;;;;
live_tree 16;482;asteraceae;anemochorous;5;maio;2;2;1.01;4.348;;;;;;;;;;;;;;;
live_tree 16;483;Annona (Guatteria);zoochooric;36;janeiro;2;2;4.592;8.48;;;;;;;;;;;;;;;
live_tree 16;484;Araliaceae (Schefflera);zoochooric;35;março;9;2;3.458;4.769;;;;;;;;;;;;;;;
live_tree 16;485;morfo 44;anemochorous;72;março;1;2;3.548333333;3.553333333;;;;;;;;;;;;;;;
live_tree 16;486;morfo 57;autochorous;89;março;1;2;3.44;4.88;;;;;;;;;;;;;;;
live_tree 16;487;Brysonimia;zoochooric;86;abril;1;2;5.597;4.799;;;;;;;;;;;;;;;
live_tree 16;488;Psychotria carlhagenensis;zoochooric;73;abril;3;2;3.401111111;4.758888889;;;;;;;;;;;;;;;
live_tree 16;489;morfo 8;anemochorous;25;junho;2;2;2.407;3.809;;;;;;;;;;;;;;;
live_tree 16;490;apocynaceae;anemochorous;21;junho;2;2;1.66;11.21;;;;;;;;;;;;;;;
live_tree 16;491;Schinus terebinthifoliu Morfo 42;zoochooric;49;julho;1;2;3.696;3.161;;;;;;;;;;;;;;;
live_tree 16;492;morfo 55;zoochooric;87;julho;1;2;2.071;2.349;;;;;;;;;;;;;;;
live_tree 16;493;Lantana camara (morfo 13);zoochooric;16;setembro;3;2;2.752;3.936;;;;;;;;;;;;;;;
live_tree 16;494;Cecropia sp;zoochooric;11;outubro;5;2;1.008;1.616;;;;;;;;;;;;;;;
live_tree 16;495;morfo 55;zoochooric;87;outubro;3;2;2.071;2.349;;;;;;;;;;;;;;;
