treatment;ID;morphospecies;sindrome;ID_SEED;month;abundance;forest_fragment;seed_diameter;seed_length;;;;;;;;;;;;;;;
treeless 17;58;morfo 8;anemochorous;25;novembro;1;2;2.407;3.809;;;;;;;;;;;;;;;
treeless 17;59;asteraceae;anemochorous;5;novembro;1;2;1.01;4.348;;;;;;;;;;;;;;;
treeless 17;60;bignoniaceae 2;anemochorous;68;janeiro;14;2;4.23;15.94;;;;;;;;;;;;;;;
treeless 17;62;Cecropia sp;zoochooric;11;maio;109;2;1.008;1.616;;;;;;;;;;;;;;;
treeless 17;63;morfo 8;anemochorous;25;julho;1;2;2.407;3.809;;;;;;;;;;;;;;;
treeless 17;64;morfo 8;anemochorous;25;setembro;2;2;2.407;3.809;;;;;;;;;;;;;;;
treeless 17;65;morfo 5;zoochooric;22;setembro;1;2;5.934;7.99;;;;;;;;;;;;;;;
treeless 18;66;Cecropia sp;zoochooric;11;junho;499;2;1.008;1.616;;;;;;;;;;;;;;;
treeless 18;67;morfo 77;zoochooric;118;setembro;1;2;3.239;3.639;;;;;;;;;;;;;;;
treeless 19;68;Morfo 7;anemochorous;24;novembro;1;2;3.528333333;5.956666667;;;;;;;;;;;;;;;
treeless 19;69;morfo 8;anemochorous;25;dezembro;1;2;2.407;3.809;;;;;;;;;;;;;;;
treeless 19;70;Handroanthus (bignoniaceae);anemochorous;53;maio;1;2;7.9;27.258;;;;;;;;;;;;;;;
treeless 19;71;asteraceae;anemochorous;5;setembro;1;2;1.01;4.348;;;;;;;;;;;;;;;
treeless 19;72;asteraceae;anemochorous;5;outubro;2;2;1.01;4.348;;;;;;;;;;;;;;;
treeless 20;73;asteraceae;anemochorous;5;dezembro;5;2;1.01;4.348;;;;;;;;;;;;;;;
treeless 20;74;asteraceae;anemochorous;5;fevereiro;38;2;1.01;4.348;;;;;;;;;;;;;;;
treeless 20;75;Cecropia sp;zoochooric;11;fevereiro;384;2;1.008;1.616;;;;;;;;;;;;;;;
treeless 20;76;morfo 12;anemochorous;31;setembro;31;2;2.346;3.277;;;;;;;;;;;;;;;
treeless 21;77;Morfo 7;anemochorous;24;novembro;1;3;3.528333333;5.956666667;;;;;;;;;;;;;;;
treeless 21;78;Cecropia sp;zoochooric;11;dezembro;1;3;1.008;1.616;;;;;;;;;;;;;;;
treeless 21;79;Cecropia sp;zoochooric;11;janeiro;1;3;1.008;1.616;;;;;;;;;;;;;;;
treeless 21;80;Handroanthus (bignoniaceae);anemochorous;53;janeiro;27;3;7.9;27.258;;;;;;;;;;;;;;;
treeless 21;81;Araliaceae (Schefflera);zoochooric;35;janeiro;3;3;3.458;4.769;;;;;;;;;;;;;;;
treeless 21;82;morfo 54;zoochooric;85;março;1;3;14.83;24;;;;;;;;;;;;;;;
treeless 21;83;morfo 24;autochorous;48;maio;1;3;4.786818182;5.332181818;;;;;;;;;;;;;;;
treeless 21;84;morfo 47;zoochooric;76;junho;1;3;3.03;4.38;;;;;;;;;;;;;;;
treeless 21;85;morfo 73;autochorous;113;junho;1;3;4.046666667;4.593333333;;;;;;;;;;;;;;;
treeless 21;86;morfo 73;autochorous;113;agosto;1;3;4.046666667;4.593333333;;;;;;;;;;;;;;;
treeless 22;87;asteraceae;anemochorous;5;agosto;129;3;1.01;4.348;;;;;;;;;;;;;;;
treeless 22;88;asteraceae;anemochorous;5;setembro;17;3;1.01;4.348;;;;;;;;;;;;;;;
treeless 23;89;asteraceae;anemochorous;5;novembro;7;3;1.01;4.348;;;;;;;;;;;;;;;
treeless 23;90;Pera glabrata;zoochooric;8;novembro;1;3;4.299;6.082;;;;;;;;;;;;;;;
treeless 23;91;Cecropia sp;zoochooric;11;março;6;3;1.008;1.616;;;;;;;;;;;;;;;
treeless 23;92;morfo 3;zoochooric;17;agosto;1;3;1.908;2.945;;;;;;;;;;;;;;;
treeless 23;93;asteraceae;anemochorous;5;agosto;3;3;1.01;4.348;;;;;;;;;;;;;;;
treeless 24;94;asteraceae;anemochorous;5;novembro;1;3;1.01;4.348;;;;;;;;;;;;;;;
treeless 24;95;asteraceae;anemochorous;5;dezembro;1;3;1.01;4.348;;;;;;;;;;;;;;;
treeless 24;96;asteraceae;anemochorous;5;janeiro;1;3;1.01;4.348;;;;;;;;;;;;;;;
treeless 24;97;Macrosomanea sp ou Balizia ( fabaceae);autochorous;10;novembro;15;3;3.46;6.096;;;;;;;;;;;;;;;
treeless 24;98;Cecropia sp;zoochooric;11;dezembro;1;3;1.008;1.616;;;;;;;;;;;;;;;
treeless 24;99;asteraceae;anemochorous;5;agosto;1;3;1.01;4.348;;;;;;;;;;;;;;;
treeless 24;100;asteraceae;anemochorous;5;setembro;4;3;1.01;4.348;;;;;;;;;;;;;;;
treeless 24;101;morfo 12;anemochorous;31;outubro;15;3;2.346;3.277;;;;;;;;;;;;;;;
treeless 25;102;asteraceae;anemochorous;5;dezembro;22;3;1.01;4.348;;;;;;;;;;;;;;;
treeless 25;103;asteraceae;anemochorous;5;janeiro;12;3;1.01;4.348;;;;;;;;;;;;;;;
treeless 25;104;asteraceae;anemochorous;5;abril;1;3;1.01;4.348;;;;;;;;;;;;;;;
treeless 25;105;Handroanthus (bignoniaceae);anemochorous;53;janeiro;2;3;7.9;27.258;;;;;;;;;;;;;;;
treeless 25;106;Morfo 12;anemochorous;31;março;2;3;2.346;3.277;;;;;;;;;;;;;;;
treeless 25;107;morfo 49;anemochorous;78;março;1;3;2.5025;3.365;;;;;;;;;;;;;;;
treeless 25;108;morfo 12;anemochorous;52;agosto;6;3;2.346;3.277;;;;;;;;;;;;;;;
treeless 25;109;asteraceae;anemochorous;5;agosto;2;3;1.01;4.348;;;;;;;;;;;;;;;
treeless 26;110;Piptadenia gonoacantha (Fabaceae);autochorous;2;novembro;3;3;5.928;8.839;;;;;;;;;;;;;;;
treeless 26;111;Cyperaceae;anemochorous;;fevereiro;1;3;2.334444444;2.49;;;;;;;;;;;;;;;
treeless 26;112;morfo 47;zoochooric;76;fevereiro;1;3;3.03;4.38;;;;;;;;;;;;;;;
treeless 26;113;morfo 21;zoochooric;44;março;1;3;4.54;3.66;;;;;;;;;;;;;;;
treeless 26;114;Colubrina glandulosa (Rhamnaceae);autochorous;100;abril;4;3;3.34;4.5925;;;;;;;;;;;;;;;
treeless 26;115;Cecropia sp;zoochooric;11;junho;9;3;1.008;1.616;;;;;;;;;;;;;;;
treeless 26;116;asteraceae;anemochorous;5;agosto;220;3;1.01;4.348;;;;;;;;;;;;;;;
treeless 26;117;asteraceae;anemochorous;5;setembro;78;3;1.01;4.348;;;;;;;;;;;;;;;
treeless 26;118;morfo 36;zoochooric;62;outubro;6;3;2.486;5.815;;;;;;;;;;;;;;;
treeless 26;119;morfo 12;anemochorous;31;outubro;5;3;2.346;3.277;;;;;;;;;;;;;;;
treeless 27;120;asteraceae;anemochorous;6;novembro;1;3;1.01;4.348;;;;;;;;;;;;;;;
treeless 27;121;Macrosomanea sp ou Balizia ( fabaceae);autochorous;10;fevereiro;11;3;3.46;6.096;;;;;;;;;;;;;;;
treeless 27;122;Araliaceae (Schefflera);zoochooric;35;fevereiro;2;3;3.458;4.769;;;;;;;;;;;;;;;
treeless 27;123;Morfo 53;zoochooric;84;março;2;3;3.455;4.255;;;;;;;;;;;;;;;
treeless 27;124;morfo 36;zoochooric;62;maio;33;3;2.486;5.815;;;;;;;;;;;;;;;
treeless 27;125;asteraceae;anemochorous;5;agosto;136;3;1.01;4.348;;;;;;;;;;;;;;;
treeless 27;126;asteraceae;anemochorous;5;setembro;3;3;1.01;4.348;;;;;;;;;;;;;;;
treeless 27;127;asteraceae;anemochorous;5;outubro;3;3;1.01;4.348;;;;;;;;;;;;;;;
treeless 28;128;asteraceae;anemochorous;6;novembro;5;3;1.01;4.348;;;;;;;;;;;;;;;
treeless 28;129;asteraceae;anemochorous;6;dezembro;17;3;1.01;4.348;;;;;;;;;;;;;;;
treeless 28;130;morfo 12;anemochorous;31;setembro;3;3;2.346;3.277;;;;;;;;;;;;;;;
treeless 29;131;asteraceae;anemochorous;5;novembro;3;3;1.01;4.348;;;;;;;;;;;;;;;
treeless 29;132;asteraceae;anemochorous;5;dezembro;5;3;1.01;4.348;;;;;;;;;;;;;;;
treeless 29;133;Brysonimia;zoochooric;86;março;1;3;5.597;4.799;;;;;;;;;;;;;;;
treeless 29;134;Tabebuia insignis (bignoniaceae;anemochorous;101;junho;2;3;10.43125;17.16444444;;;;;;;;;;;;;;;
treeless 29;135;asteraceae;anemochorous;5;agosto;1;3;1.01;4.348;;;;;;;;;;;;;;;
treeless 29;136;asteraceae;anemochorous;5;setembro;7;3;1.01;4.348;;;;;;;;;;;;;;;
treeless 30;137;Dctyloma (Rutaceae);anemochorous;39;dezembro;1;3;6.476;8.32;;;;;;;;;;;;;;;
treeless 30;138;asteraceae;anemochorous;5;dezembro;9;3;1.01;4.348;;;;;;;;;;;;;;;
treeless 30;139;asteraceae;anemochorous;5;janeiro;1;3;1.01;4.348;;;;;;;;;;;;;;;
treeless 30;140;asteraceae;anemochorous;5;maio;1;3;1.01;4.348;;;;;;;;;;;;;;;
treeless 30;141;Machaerium (fabaceae);anemochorous;116;agosto;1;3;9.91;12.91;;;;;;;;;;;;;;;
treeless 30;142;morfo 52;anemochorous;82;outubro;3;3;6.476;8.32;;;;;;;;;;;;;;;
treeless 30;143;Cyperaceae;anemochorous;52;outubro;2;3;2.334444444;2.49;;;;;;;;;;;;;;;
live_tree 01;144;Cecropia sp;zoochooric;11;novembro;1;1;1.008;1.616;;;;;;;;;;;;;;;
